NodeKey,Value,DataType,Size,Quality,SourceTimeStamp,ServerTimeStamp,NodeKey:1,NodeId
5,771732,3,1,192,2024-03-19 13:28:39.479,2024-03-19 13:28:39.479,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:28:38.473,2024-03-19 13:28:38.473,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:28:37.458,2024-03-19 13:28:37.458,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:28:36.503,2024-03-19 13:28:36.503,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:28:33.487,2024-03-19 13:28:33.487,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:28:32.473,2024-03-19 13:28:32.473,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:28:31.468,2024-03-19 13:28:31.468,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:28:30.469,2024-03-19 13:28:30.469,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:28:29.453,2024-03-19 13:28:29.453,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:28:28.462,2024-03-19 13:28:28.462,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:28:27.478,2024-03-19 13:28:27.478,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:28:26.452,2024-03-19 13:28:26.452,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:28:25.477,2024-03-19 13:28:25.477,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:28:24.477,2024-03-19 13:28:24.477,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:28:23.477,2024-03-19 13:28:23.477,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:28:22.494,2024-03-19 13:28:22.494,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:28:21.463,2024-03-19 13:28:21.463,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:28:20.463,2024-03-19 13:28:20.463,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:28:18.479,2024-03-19 13:28:18.479,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:28:17.464,2024-03-19 13:28:17.464,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:28:15.481,2024-03-19 13:28:15.481,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:28:14.496,2024-03-19 13:28:14.496,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:28:13.468,2024-03-19 13:28:13.468,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:28:12.483,2024-03-19 13:28:12.483,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:28:11.468,2024-03-19 13:28:11.468,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:28:10.484,2024-03-19 13:28:10.484,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:28:09.452,2024-03-19 13:28:09.452,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:28:08.479,2024-03-19 13:28:08.479,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:28:07.463,2024-03-19 13:28:07.463,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:28:06.479,2024-03-19 13:28:06.479,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:28:04.476,2024-03-19 13:28:04.476,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:28:02.476,2024-03-19 13:28:02.476,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:28:01.473,2024-03-19 13:28:01.473,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:27:59.474,2024-03-19 13:27:59.474,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:27:58.476,2024-03-19 13:27:58.476,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:27:57.473,2024-03-19 13:27:57.473,5,Device1.ServoMonitor_CYCCNT1:OR
5,771727,3,1,192,2024-03-19 13:27:56.454,2024-03-19 13:27:56.454,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:27:55.467,2024-03-19 13:27:55.467,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:27:54.484,2024-03-19 13:27:54.484,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:27:53.467,2024-03-19 13:27:53.467,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:27:50.467,2024-03-19 13:27:50.467,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:27:49.511,2024-03-19 13:27:49.511,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:27:48.472,2024-03-19 13:27:48.472,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:27:47.467,2024-03-19 13:27:47.467,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:27:45.471,2024-03-19 13:27:45.471,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:27:43.475,2024-03-19 13:27:43.475,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:27:42.460,2024-03-19 13:27:42.460,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:27:40.488,2024-03-19 13:27:40.488,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:27:39.485,2024-03-19 13:27:39.485,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:27:37.477,2024-03-19 13:27:37.477,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:27:35.492,2024-03-19 13:27:35.492,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:27:34.476,2024-03-19 13:27:34.476,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:27:32.477,2024-03-19 13:27:32.477,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:27:30.477,2024-03-19 13:27:30.477,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:27:29.477,2024-03-19 13:27:29.477,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:27:28.493,2024-03-19 13:27:28.493,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:27:24.478,2024-03-19 13:27:24.478,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:27:23.478,2024-03-19 13:27:23.478,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:27:21.478,2024-03-19 13:27:21.478,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:27:20.478,2024-03-19 13:27:20.478,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:27:19.478,2024-03-19 13:27:19.478,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:27:18.478,2024-03-19 13:27:18.478,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:27:17.478,2024-03-19 13:27:17.478,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:27:16.478,2024-03-19 13:27:16.478,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:27:14.479,2024-03-19 13:27:14.479,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:27:12.463,2024-03-19 13:27:12.463,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:27:11.464,2024-03-19 13:27:11.464,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:27:10.468,2024-03-19 13:27:10.468,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:27:06.469,2024-03-19 13:27:06.469,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:27:05.469,2024-03-19 13:27:05.469,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:27:04.469,2024-03-19 13:27:04.469,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:27:03.469,2024-03-19 13:27:03.469,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:27:02.474,2024-03-19 13:27:02.474,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:27:01.475,2024-03-19 13:27:01.475,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:27:00.481,2024-03-19 13:27:00.481,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:26:59.487,2024-03-19 13:26:59.487,5,Device1.ServoMonitor_CYCCNT1:OR
